init_date,forecast_date,lead_time_days,morning_dir_low,morning_dir_high,morning_dir_mean,morning_dir_var,afternoon_dir_low,afternoon_dir_high,afternoon_dir_mean,afternoon_dir_var,evening_dir_low,evening_dir_high,evening_dir_mean,evening_dir_var
2026-07-14,2026-07-18,4,311.8332957195608,355.3371104137621,335.51123689368427,136.35665879918926,316.83326187346813,344.4993901614561,330.91198075059634,69.37338635279941,31.97953836161472,356.1678570201294,324.2903845341256,3121.127387428079
2026-07-14,2026-07-19,5,62.74498116800091,354.5005079664707,320.66546331882853,2490.1437679755286,22.166704280439173,356.16303203781865,321.6235686975343,3205.1201182143122,0.3340577595461494,359.80222497385137,299.13175732526,12929.251247700382
2026-07-14,2026-07-20,6,6.999999999999999,356.49997461392616,281.84131047079376,14251.508730997628,0.8344395641968206,352.1541010197388,264.4262008480747,16367.132112445177,6.344019112402016,359.50389155197274,204.5416609404036,24068.296761926813
2026-07-14,2026-07-21,7,0.9990857068928963,357.99857557578446,211.40347875666686,19598.93665427315,0.33227894316345835,358.32077204565155,179.3985106718146,23374.282614260224,3.8364877576323804,359.33331258583706,109.12506499530213,16066.318570273655
2026-07-15,2026-07-16,1,347.4822271637315,64.44354122352405,25.962884193627794,0.20190911122386412,330.93065023617993,40.87180608560937,5.9012281608946635,0.16994607862005418,355.8399497681693,42.099301644569145,18.9696257063692,0.07825107154216471
2026-07-15,2026-07-17,2,319.19302515247693,13.662532049732931,346.42777860110493,0.10682452142370058,308.1610662468802,340.37092979546276,324.26599802117147,0.03873401748431993,316.41017675144985,343.4815554543211,329.9458661028855,0.027519468733543495
2026-07-15,2026-07-18,3,316.85424650172973,332.70895252451095,324.78159951312034,0.009525863703308879,317.1357860267101,338.75067195114775,327.9432289889289,0.017632478721614664,315.47099558631817,351.1664240186632,333.3187098024907,0.047358430800762075
2026-07-15,2026-07-19,4,318.02077130785506,345.79961826433146,331.91019478609326,0.028955322549345297,319.63095874255805,345.80852627067986,332.71974250661896,0.02575547901593811,331.10264967211106,359.34080539132015,345.2217275317156,0.02990618092975772
2026-07-15,2026-07-20,5,323.52921925430076,1.0629393769617081,342.29607931563123,0.05222900432219846,320.0269523815291,354.3909070640699,337.2089297227995,0.043968703876237525,326.81856328877217,15.717085628401662,351.2678244585869,0.08702339670537129
2026-07-15,2026-07-21,6,319.44108588374047,15.641204425862838,347.54114515480165,0.11331455521061129,323.748474637723,6.706115093269432,345.2272948654962,0.06785421730542351,329.8353123834165,21.737246744363006,355.78627956388976,0.0974874757137989
